"Категория","Предмет","Оборачиваемость дни","Доступность товара для клиента"
"Аксессуары","Чехлы для ножей","27","Дефицит товара"
"Дом","Фоторамки","40","Дефицит товара"
"Мебель","Шкафы детские","3","Дефицит товара"
"Посуда и инвентарь","Шприцы кондитерские","18","Дефицит товара"
"Красота","Наборы в роддом","29","Дефицит товара"
"Аксессуары","Шали","18","Дефицит товара"
"Спортивная одежда","Фитнес-корсеты","107","Нормальная доступность товара"
"Рукоделие","Иглы швейные","32","Дефицит товара"
"Садовая техника","Снегоуборщики","2","Дефицит товара"
"Бытовая техника","Вентиляторы","233","Избыток товара"
"Дом","Наборы для чистки камина","12","Дефицит товара"
"Автомобильные товары","Компрессоры автомобильные","22","Дефицит товара"
"Товары для животных","Витамины и добавки для животных","17","Дефицит товара"
"Рукоделие","Петли-вешалки","56","Дефицит товара"
"Спортивный товар","Гимнастические кольца","49","Дефицит товара"
"Посуда и инвентарь","Ведерки для льда","11","Дефицит товара"
"Дом","Комплектующие для штор","45","Дефицит товара"
"Строительные материалы","Плитки для подвесного потолка","0","Дефицит товара"
"Спортивный товар","Горелки спиртовые туристические","14","Дефицит товара"
"Техника для кухни","Печи для пиццы","3","Дефицит товара"
"Белье","Термокомплекты","30","Дефицит товара"
"Бытовая техника","Ремни для швейных машин","11","Дефицит товара"
"Строительные материалы","Плитка ковровая","0","Дефицит товара"
"Продукты","Пончики","38","Дефицит товара"
"Электроника","Аккумуляторы для пылесосов","10","Дефицит товара"
"Здоровье","Капли назальные","31","Дефицит товара"
"Красота","Шапочки косметические","58","Дефицит товара"
"Товары для животных","Халаты для животных","292","Избыток товара"
"Посуда и инвентарь","Турки","26","Дефицит товара"
"Рукоделие","Заготовки для поделок","20","Дефицит товара"
"Фото и Видеотехника","Фотоаппараты моментальной печати","5","Дефицит товара"
"Автомобильные товары","Пленки тонировочные","10","Дефицит товара"
"Посуда и инвентарь","Подставки под стаканы","31","Дефицит товара"
"Строительные инструменты","Редукторы баллонные","7","Дефицит товара"
"Игрушки","Ведерки детские","76","Нормальная доступность товара"
"Все для садоводства","Рассада","61","Нормальная доступность товара"
"Спортивный товар","Стрелы арбалетные","3","Дефицит товара"
"Электроника","Радиостанции","4","Дефицит товара"
"Строительные материалы","Крепления для поручней","42","Дефицит товара"
"Мебель","Сундуки","14","Дефицит товара"
"Аксессуары","Шнурки для очков","66","Нормальная доступность товара"
"Товары для животных","Ухватки для собак","18","Дефицит товара"
"Мебель","Ширмы","3","Дефицит товара"
"Автомобильные товары","Смазки автомобильные","13","Дефицит товара"
"Профессиональные музыкальные инструменты","Казу","18","Дефицит товара"
"Садовая техника","Ремни для триммеров","32","Дефицит товара"
"Фото и Видеотехника","Фоторамки цифровые","11","Дефицит товара"
"Автомобильные товары","Масла трансмиссионные","3","Дефицит товара"
"Техника для кухни","Кухонные весы","34","Дефицит товара"
"Посуда и инвентарь","Сифоны для воды","31","Дефицит товара"
"Профессиональные музыкальные инструменты","Мостики для скрипки","3","Дефицит товара"
"Профессиональные музыкальные инструменты","Усилители мощности","7","Дефицит товара"
"Красота","Накладные ногти","58","Дефицит товара"
"Мебель","Комоды","19","Дефицит товара"
"Садовые инструменты","Косы","105","Нормальная доступность товара"
"Хозяйственные товары","Фольга пищевая","37","Дефицит товара"
"Рукоделие","Доски для биговки","55","Дефицит товара"
"Одежда","Шорты пижамные","146","Избыток товара"
"Бытовая техника","Педали для швейных машин","10","Дефицит товара"
"Товары для животных","Импеллеры для аквариумного фильтра","24","Дефицит товара"
"Товары для животных","Пеленки для животных","31","Дефицит товара"
"Техника для кухни","Стерилизаторы для ножей","999","Избыток товара"
"Ювелирные украшения","Ювелирные запонки","51","Дефицит товара"
"Товары для малышей","Чехлы для шезлонга","26","Дефицит товара"
"Все для садоводства","Товары для минисада","78","Нормальная доступность товара"
"Белье для малышей","Термокомбинезоны для малышей","63","Нормальная доступность товара"
"Автомобильные товары","Гайки секретные","21","Дефицит товара"
"Электроника","Конденсаторы пусковые","12","Дефицит товара"
"Строительные материалы","Заготовки для ножей","13","Дефицит товара"
"Мебель","Гарнитуры кухонные","0","Дефицит товара"
"Рукоделие","Жемчуга жидкие","274","Избыток товара"
"Автомобильные товары","Ключи свечные","25","Дефицит товара"
"Канцелярские товары","Пленки для ламинирования","32","Дефицит товара"
"Продукты","Ростки ячменя","37","Дефицит товара"
"Продукты","Вафли","14","Дефицит товара"
"Игрушки","Йо-йо","32","Дефицит товара"
"Строительные материалы","Пленки самоклеющиеся","27","Дефицит товара"
"Игрушки","Сортеры","22","Дефицит товара"
"Строительные инструменты","Шнеки","9","Дефицит товара"
"Аксессуары для волос","Подкладки для объема волос","48","Дефицит товара"
"Одежда для малышей","Джинсы для малышей","68","Нормальная доступность товара"
"Посуда и инвентарь","Пиалы","29","Дефицит товара"
"Товары для взрослых","Неглиже эротик","149","Избыток товара"
"Продукты","Тыква","15","Дефицит товара"
"Продукты","Сыры сухие","8","Дефицит товара"
"Игрушки","Горки детские","7","Дефицит товара"
"Товары для взрослых","Юбки эротик","41","Дефицит товара"
"Автомобильные товары","Кольца поршневые","1","Дефицит товара"
"Спортивный товар","Конусы спортивные","25","Дефицит товара"
"Садовая техника","Навесное оборудование для мотоблоков","0","Дефицит товара"
"Дом","Постельное белье","18","Дефицит товара"
"Автомобильные товары","Грунтовки для автомобиля","61","Нормальная доступность товара"
"Красота","Временные татуировки","93","Нормальная доступность товара"
"Ноутбуки и компьютеры","Видеокарты","96","Нормальная доступность товара"
"Товары для малышей","Простыни натяжные для малышей","25","Дефицит товара"
"Мебель","Кресла-мешки","2","Дефицит товара"
"Спортивная одежда","Термофутболки спортивные","44","Дефицит товара"
"Спортивные аксессуары","Другие велозапчасти","34","Дефицит товара"
"Мебель","Комоды плетеные","29","Дефицит товара"
"Спортивные аксессуары","Чехлы для кия","1","Дефицит товара"
"Здоровье","Стикеры от мобильного излучения","16","Дефицит товара"
"Мебель","Чехлы для мебели","14","Дефицит товара"
"Техника для кухни","Пюремейкеры электрические","999","Избыток товара"
"Садовые инструменты","Колуны","3","Дефицит товара"
"Строительные материалы","Побелки строительные","0","Дефицит товара"
"Строительные материалы","Лепнина","8","Дефицит товара"
"Автомобильные товары","Мосты кабельные","0","Дефицит товара"
"Спортивные аксессуары","Одеяла для йоги","19","Дефицит товара"
"Оргтехника","Тонеры для картриджей","7","Дефицит товара"
"Продукты","Сыры","5","Дефицит товара"
"Хранение вещей","Коробки для хранения","46","Дефицит товара"
"Товары для взрослых","Секс машины","33","Дефицит товара"
"Строительные инструменты","Угольники столярные","16","Дефицит товара"
"Здоровье","Тренажеры для глаз","1","Дефицит товара"
"Дом","Зеркала для ванной","11","Дефицит товара"
"Посуда и инвентарь","Емкости для масла и уксуса","40","Дефицит товара"
"Товары для взрослых","Простыни БДСМ","49","Дефицит товара"
"Посуда и инвентарь","Органайзеры на мойку","52","Дефицит товара"
"Для праздника","Венки","9","Дефицит товара"
"Все для садоводства","Мини-парники","68","Нормальная доступность товара"
"Спортивная одежда","Велоштаны","66","Нормальная доступность товара"
"Спортивный товар","Колышки для палаток","15","Дефицит товара"
"Посуда и инвентарь","Креманки","17","Дефицит товара"
"Строительные инструменты","Молотки отбойные","14","Дефицит товара"
