category                               predmet                                                oborot availibility
Аксессуары                             Чехлыдляножей                                              27 Дефицит
Дом                                    Фоторамки                                                  40 Дефицит
Мебель                                 Шкафыдетские                                                3 Дефицит
Посудаиинвентарь                       Шприцыкондитерские                                         18 Дефицит
Красота                                Наборывроддом                                              29 Дефицит
Аксессуары                             Шали                                                       18 Дефицит
Спортивнаяодежда                       Фитнес-корсеты                                            107 Нормальнаядоступность
Рукоделие                              Иглышвейные                                                32 Дефицит
Садоваятехника                         Снегоуборщики                                               2 Дефицит
Бытоваятехника                         Вентиляторы                                               233 Избыток
Дом                                    Наборыдлячисткикамина                                      12 Дефицит
Автомобильныетовары                    Компрессорыавтомобильные                                   22 Дефицит
Товарыдляживотных                      Витаминыидобавкидляживотных                                17 Дефицит
Рукоделие                              Петли-вешалки                                              56 Дефицит
Спортивныйтовар                        Гимнастическиекольца                                       49 Дефицит
Посудаиинвентарь                       Ведеркидляльда                                             11 Дефицит
Дом                                    Комплектующиедляштор                                       45 Дефицит
Строительныематериалы                  Плиткидляподвесногопотолка                                  0 Дефицит
Спортивныйтовар                        Горелкиспиртовыетуристические                              14 Дефицит
Техникадлякухни                        Печидляпиццы                                                3 Дефицит
Белье                                  Термокомплекты                                             30 Дефицит
Бытоваятехника                         Ремнидляшвейныхмашин                                       11 Дефицит
Строительныематериалы                  Плиткаковровая                                              0 Дефицит
Продукты                               Пончики                                                    38 Дефицит
Электроника                            Аккумуляторыдляпылесосов                                   10 Дефицит
Здоровье                               Каплиназальные                                             31 Дефицит
Красота                                Шапочкикосметические                                       58 Дефицит
Товарыдляживотных                      Халатыдляживотных                                         292 Избыток
Посудаиинвентарь                       Турки                                                      26 Дефицит
Рукоделие                              Заготовкидляподелок                                        20 Дефицит
ФотоиВидеотехника                      Фотоаппаратымоментальнойпечати                              5 Дефицит
Автомобильныетовары                    Пленкитонировочные                                         10 Дефицит
Посудаиинвентарь                       Подставкиподстаканы                                        31 Дефицит
Строительныеинструменты                Редукторыбаллонные                                          7 Дефицит
Игрушки                                Ведеркидетские                                             76 Нормальнаядоступность
Вседлясадоводства                      Рассада                                                    61 Нормальнаядоступность
Спортивныйтовар                        Стрелыарбалетные                                            3 Дефицит
Электроника                            Радиостанции                                                4 Дефицит
Строительныематериалы                  Креплениядляпоручней                                       42 Дефицит
Мебель                                 Сундуки                                                    14 Дефицит
Аксессуары                             Шнуркидляочков                                             66 Нормальнаядоступность
Товарыдляживотных                      Ухваткидлясобак                                            18 Дефицит
Мебель                                 Ширмы                                                       3 Дефицит
Автомобильныетовары                    Смазкиавтомобильные                                        13 Дефицит
Профессиональныемузыкальныеинструменты Казу                                                       18 Дефицит
Садоваятехника                         Ремнидлятриммеров                                          32 Дефицит
ФотоиВидеотехника                      Фоторамкицифровые                                          11 Дефицит
Автомобильныетовары                    Маслатрансмиссионные                                        3 Дефицит
Техникадлякухни                        Кухонныевесы                                               34 Дефицит
Посудаиинвентарь                       Сифоныдляводы                                              31 Дефицит
Профессиональныемузыкальныеинструменты Мостикидляскрипки                                           3 Дефицит
Профессиональныемузыкальныеинструменты Усилителимощности                                           7 Дефицит
Красота                                Накладныеногти                                             58 Дефицит
Мебель                                 Комоды                                                     19 Дефицит
Садовыеинструменты                     Косы                                                      105 Нормальнаядоступность
Хозяйственныетовары                    Фольгапищевая                                              37 Дефицит
Рукоделие                              Доскидлябиговки                                            55 Дефицит
Одежда                                 Шортыпижамные                                             146 Избыток
Бытоваятехника                         Педалидляшвейныхмашин                                      10 Дефицит
Товарыдляживотных                      Импеллерыдляаквариумногофильтра                            24 Дефицит
Товарыдляживотных                      Пеленкидляживотных                                         31 Дефицит
Техникадлякухни                        Стерилизаторыдляножей                                     999 Избыток
Ювелирныеукрашения                     Ювелирныезапонки                                           51 Дефицит
Товарыдлямалышей                       Чехлыдляшезлонга                                           26 Дефицит
Вседлясадоводства                      Товарыдляминисада                                          78 Нормальнаядоступность
Бельедлямалышей                        Термокомбинезоныдлямалышей                                 63 Нормальнаядоступность
Автомобильныетовары                    Гайкисекретные                                             21 Дефицит
Электроника                            Конденсаторыпусковые                                       12 Дефицит
Строительныематериалы                  Заготовкидляножей                                          13 Дефицит
Мебель                                 Гарнитурыкухонные                                           0 Дефицит
Рукоделие                              Жемчугажидкие                                             274 Избыток
Автомобильныетовары                    Ключисвечные                                               25 Дефицит
Канцелярскиетовары                     Пленкидляламинирования                                     32 Дефицит
Продукты                               Росткиячменя                                               37 Дефицит
Продукты                               Вафли                                                      14 Дефицит
Игрушки                                Йо-йо                                                      32 Дефицит
Строительныематериалы                  Пленкисамоклеющиеся                                        27 Дефицит
Игрушки                                Сортеры                                                    22 Дефицит
Строительныеинструменты                Шнеки                                                       9 Дефицит
Аксессуарыдляволос                     Подкладкидляобъемаволос                                    48 Дефицит
Одеждадлямалышей                       Джинсыдлямалышей                                           68 Нормальнаядоступность
Посудаиинвентарь                       Пиалы                                                      29 Дефицит
Товарыдлявзрослых                      Неглижеэротик                                             149 Избыток
Продукты                               Тыква                                                      15 Дефицит
Продукты                               Сырысухие                                                   8 Дефицит
Игрушки                                Горкидетские                                                7 Дефицит
Товарыдлявзрослых                      Юбкиэротик                                                 41 Дефицит
Автомобильныетовары                    Кольцапоршневые                                             1 Дефицит
Спортивныйтовар                        Конусыспортивные                                           25 Дефицит
Садоваятехника                         Навесноеоборудованиедлямотоблоков                           0 Дефицит
Дом                                    Постельноебелье                                            18 Дефицит
Автомобильныетовары                    Грунтовкидляавтомобиля                                     61 Нормальнаядоступность
Красота                                Временныетатуировки                                        93 Нормальнаядоступность
Ноутбукиикомпьютеры                    Видеокарты                                                 96 Нормальнаядоступность
Товарыдлямалышей                       Простынинатяжныедлямалышей                                 25 Дефицит
Мебель                                 Кресла-мешки                                                2 Дефицит
Спортивнаяодежда                       Термофутболкиспортивные                                    44 Дефицит
Спортивныеаксессуары                   Другиевелозапчасти                                         34 Дефицит
Мебель                                 Комодыплетеные                                             29 Дефицит
Спортивныеаксессуары                   Чехлыдлякия                                                 1 Дефицит
Здоровье                               Стикерыотмобильногоизлучения                               16 Дефицит
Мебель                                 Чехлыдлямебели                                             14 Дефицит
Техникадлякухни                        Пюремейкерыэлектрические                                  999 Избыток
Садовыеинструменты                     Колуны                                                      3 Дефицит
Строительныематериалы                  Побелкистроительные                                         0 Дефицит
Строительныематериалы                  Лепнина                                                     8 Дефицит
Автомобильныетовары                    Мостыкабельные                                              0 Дефицит
Спортивныеаксессуары                   Одеяладляйоги                                              19 Дефицит
Оргтехника                             Тонерыдлякартриджей                                         7 Дефицит
Продукты                               Сыры                                                        5 Дефицит
Хранениевещей                          Коробкидляхранения                                         46 Дефицит
Товарыдлявзрослых                      Сексмашины                                                 33 Дефицит
Строительныеинструменты                Угольникистолярные                                         16 Дефицит
Здоровье                               Тренажерыдляглаз                                            1 Дефицит
Дом                                    Зеркаладляванной                                           11 Дефицит
Посудаиинвентарь                       Емкостидлямаслаиуксуса                                     40 Дефицит
Товарыдлявзрослых                      ПростыниБДСМ                                               49 Дефицит
Посудаиинвентарь                       Органайзерынамойку                                         52 Дефицит
Дляпраздника                           Венки                                                       9 Дефицит
Вседлясадоводства                      Мини-парники                                               68 Нормальнаядоступность
Спортивнаяодежда                       Велоштаны                                                  66 Нормальнаядоступность
Спортивныйтовар                        Колышкидляпалаток                                          15 Дефицит
Посудаиинвентарь                       Креманки                                                   17 Дефицит
Строительныеинструменты                Молоткиотбойные                                            14 Дефицит
Здоровье                               СкребкиГуаша                                               39 Дефицит
Вседлясадоводства                      Керамзит                                                   20 Дефицит
Строительныеинструменты                Лестницы                                                   23 Дефицит
Спортивныйтовар                        Флягодержатели                                            160 Избыток
Аксессуарыдляобуви                     Шампунидляобуви                                            75 Нормальнаядоступность
Рукоделие                              Счетчикирядов                                              16 Дефицит
Строительныематериалы                  Клейкиелентымонтажные                                      33 Дефицит
Строительныеинструменты                Маякидляналивныхполов                                      20 Дефицит
Дом                                    Матрешки                                                   17 Дефицит
Товарыдляживотных                      Душевыелейкидляживотных                                    79 Нормальнаядоступность
Красота                                Жидкостидляснятиялака                                      61 Нормальнаядоступность
Дляпраздника                           Карнавальныеочки                                           11 Дефицит
Спортивныйтовар                        Колодкитормозные                                          150 Избыток
Книжнаяпродукцияидиски                 МедианаUSB-накопителе                                      19 Дефицит
Посудаиинвентарь                       Прессыдлякартофеля                                         44 Дефицит
Автомобильныетовары                    Конькидлялыжснегохода                                       0 Дефицит
Товарыдлявзрослых                      Концентратыферомонов                                       58 Дефицит
Красота                                Водоросликосметические                                     19 Дефицит
Книжнаяпродукцияидиски                 Цветовыевеера                                               3 Дефицит
Красота                                Отдушкикосметические                                       12 Дефицит
Строительныематериалы                  Трубыметаллические                                          9 Дефицит
Красота                                Точилкидлябритвенныхлезвий                                119 Нормальнаядоступность
Продукты                               Мясосушеное                                                29 Дефицит
Здоровье                               Внутриматочныеспирали                                      20 Дефицит
Здоровье                               Аппликаторыгрязевые                                        43 Дефицит
Строительныематериалы                  Дымоходы                                                    2 Дефицит
Детскоепитание                         Сокидетские                                                59 Дефицит
Товарыдлямалышей                       Пледыдлямалышей                                            59 Дефицит
Продукты                               Бананы                                                     37 Дефицит
Аксессуары                             Чехлыдлярадиостанций                                        3 Дефицит
Вседлясадоводства                      Гидрогельдлярастений                                       32 Дефицит
Бытоваятехника                         Термопрессыдлясублимации                                   24 Дефицит
Дляпраздника                           Лентаупаковочная                                           16 Дефицит
Товарыдляотдыхаикемпинга               Подставкидляшампуров                                       41 Дефицит
Товарыдляживотных                      Полотенцадляживотных                                       64 Нормальнаядоступность
Техникадлякухни                        Мини-холодильники                                          32 Дефицит
Спортивныйтовар                        Коврикитуристические                                       28 Дефицит
Спортивныйтовар                        Грипсы                                                    123 Избыток
Строительныеинструменты                Светофильтрысварочные                                      23 Дефицит
Автомобильныетовары                    Преобразователидавления                                   999 Избыток
Сантехника                             Кронштейныдушевые                                          49 Дефицит
Техникадлякухни                        Термощупы                                                  30 Дефицит
Мебель                                 Перегородкиофисные                                          0 Дефицит
Автомобильныетовары                    Накладкиналыжиснегохода                                     1 Дефицит
Рукоделие                              Булавки                                                    27 Дефицит
Мебель                                 Кресла-трансформеры                                         4 Дефицит
Умныйдомибезопасность                  ПультыУмныйдом                                             11 Дефицит
Садоваятехника                         Запчастидляфермерскойтехники                                0 Дефицит
Строительныеинструменты                Кувалды                                                    20 Дефицит
Вседлясадоводства                      Удобрениядляоткрытогогрунта                                91 Нормальнаядоступность
Строительныеинструменты                Полировальныемашины                                        27 Дефицит
Дляпраздника                           Композицииживыхцветов                                      69 Нормальнаядоступность
Садоваятехника                         Снеговыеотвалы                                              0 Дефицит
Спортивныйтовар                        Канторезы                                                  35 Дефицит
Аксессуарыдляобуви                     Накаблучники                                               19 Дефицит
Посудаиинвентарь                       Спреидляцитрусовых                                          8 Дефицит
Товарыдлямалышей                       Матрасывкроваткудляноворожденных                            5 Дефицит
Спортивныйтовар                        Переходникидлятормознойсистемы                             47 Дефицит
Посудаиинвентарь                       Наборыстоловыхприборов                                     25 Дефицит
Электроника                            RGBWусилители                                             999 Избыток
Техникадлякухни                        Электрическиеконсервныеножи                                 6 Дефицит
СпецодеждаиСИЗы                        Халатырабочие                                              51 Дефицит
Дом                                    Ремнитакелажные                                            95 Нормальнаядоступность
Спортивныйтовар                        Аксессуарыдляподводнойохоты                                31 Дефицит
Дом                                    Чехлыдлячисткикондиционера                                220 Избыток
Продукты                               Заправкисалатные                                           16 Дефицит
СпецодеждаиСИЗы                        Платьямедицинские                                          90 Нормальнаядоступность
Электроника                            Лабораторныеисточникипитания                                2 Дефицит
Рукоделие                              Наборыдлялепки                                             36 Дефицит
Автомобильныетовары                    Жидкостигидравлические                                     17 Дефицит
Телевизорыиаудиотехника                Чехлыдлянаушников                                          34 Дефицит
Красота                                Сыворотки                                                  53 Дефицит
Строительныематериалы                  Кроссыоптические                                            0 Дефицит
Товарыдляживотных                      Перосъемныемашины                                           1 Дефицит
Посудаиинвентарь                       Контейнерыизполимеров                                      51 Дефицит
Продукты                               Груши                                                       1 Дефицит
Автомобильныетовары                    Фланцыавтомобильные                                         1 Дефицит
Сантехника                             Фильтрыпроточные                                            1 Дефицит
Красота                                Водакосметическая                                          57 Дефицит
Спортивнаяодежда                       Курткидлясамбо                                             42 Дефицит
Электроника                            Кронштейныдлявидеокамер                                    29 Дефицит
Дляпраздника                           Хлопушки                                                   24 Дефицит
Вседлясадоводства                      Столыистеллажидлярассады                                   39 Дефицит
Спортивнаяодежда                       Трикоборцовское                                            29 Дефицит
Автомобильныетовары                    Указателиуровнямасла                                        0 Дефицит
